Khoi,Nhom,Mon,SoTC
Đại cương,Lý luận chính trị,Triết học Mác-Lênin,3
Đại cương,Lý luận chính trị,Kinh tế chính trị Mác-Lênin,2
Đại cương,Lý luận chính trị,Chủ nghĩa xã hội khoa học,2
Đại cương,Lý luận chính trị,Lịch sử Đảng Cộng sản Việt Nam,2
Đại cương,Lý luận chính trị,Tư tưởng Hồ Chí Minh,2
Đại cương,Ngoại ngữ,Anh văn không chuyên 1,3
Đại cương,Ngoại ngữ,Anh văn không chuyên 2,4
Đại cương,Ngoại ngữ,Anh văn không chuyên 3,3
Đại cương,Ngoại ngữ,Anh văn không chuyên 4,3
Đại cương,Ngoại ngữ,Anh văn chuyên ngành,3
Đại cương,Khoa học Xã Hội,Pháp luật đại cương,2
Đại cương,Khoa học Xã Hội,Tiếng Việt thực hành,2
Đại cương,Khoa học Xã Hội,Logic học đại cương,2
Đại cương,Khoa học Xã Hội,Nguyên lý kế toán,2
Đại cương,"Khoa học tự nhiên, Toán, Tin học",Đại số tuyến tính,2
Đại cương,"Khoa học tự nhiên, Toán, Tin học",Vi tích phân A1,3
Đại cương,"Khoa học tự nhiên, Toán, Tin học",Vi tích phân A2,2
Đại cương,"Khoa học tự nhiên, Toán, Tin học",Thống kê và phân tích dữ liệu,3
Đại cương,"Khoa học tự nhiên, Toán, Tin học",Phương pháp nghiên cứu khoa học,2
Đại cương,"Khoa học tự nhiên, Toán, Tin học",Đại số đại cương,2
Đại cương,"Khoa học tự nhiên, Toán, Tin học",Toán rời rạc,2
Đại cương,"Khoa học tự nhiên, Toán, Tin học",Lý thuyết đồ thị,3
Đại cương,"Khoa học tự nhiên, Toán, Tin học",Nhập môn công nghệ thông tin,2
Đại cương,"Giáo dục thể chất, Giáo dục Quốc phòng",Giáo dục thể chất 1,1
Đại cương,"Giáo dục thể chất, Giáo dục Quốc phòng",Giáo dục thể chất 2,1
Đại cương,"Giáo dục thể chất, Giáo dục Quốc phòng",Giáo dục thể chất 3,1
Đại cương,"Giáo dục thể chất, Giáo dục Quốc phòng",Giáo dục Quốc phòng - An ninh,4
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Cấu trúc dữ liệu và giải thuật,4
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Cơ sở dữ liệu,3
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Kiến trúc máy tính,3
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Kỹ thuật lập trình,4
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Lập trình hướng đối tượng,3
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Mạng máy tính,3
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Hệ điều hành,3
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Thiết kế web,3
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,An toàn và bảo mật thông tin,3
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Chuyên đề ASP.NET,3
Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Chuyên đề Linux,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Cơ sở trí tuệ nhân tạo,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Công nghệ phần mềm,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Điện toán đám mây,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Đồ họa ứng dụng,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Hệ quản trị cơ sở dữ liệu,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Khai phá dữ liệu,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Lập trình thiết bị di động,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Lập trình ứng dụng trên Windows,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Máy học ứng dụng,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Phân tích và thiết kế hệ thống thông tin,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Phát triển ứng dụng hướng dịch vụ,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Phát triển ứng dụng web mã nguồn mở,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Quản trị dự án Công nghệ thông tin,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Thương mại điện tử,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Tương tác người – máy,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Xây dựng phần mềm hướng đối tượng,3
Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Xử lý ảnh,3
Kiến thức nghề nghiệp,Thực tập,Thực tập cuối khóa,3
Kiến thức nghề nghiệp,Thực tập,Thực tập đồ án chuyên ngành,3
Kiến thức nghề nghiệp,Thực tập,Thực tập đồ án cơ sở ngành,3
Kiến thức nghề nghiệp,Tốt nghiệp,Đồ án tốt nghiệp,7