Ctdt,Khoi,Nhom,NhomMon,Mon,SoTC
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Đại cương,Giáo dục thể chất &Quốc phòng,,,7
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Đại cương,"Khoa học tự nhiên, Toán, Tin học",,,21
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Đại cương,Khoa học Xã Hội,,,6
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Công nghệ phần mềm,Công nghệ phần mềm,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Công nghệ phần mềm,PTTK hệ thống thông tin,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Công nghệ phần mềm,Quản trị dự án Công nghệ thông tin,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Công nghệ phần mềm,Tương tác người – máy,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Công nghệ phần mềm,Xây dựng phần mềm hướng đối tượng,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Đồ họa,Đồ họa ứng dụng,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Đồ họa,Xử lý ảnh,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Khoa học dữ liệu và Trí tuệ nhân tạo,Cơ sở trí tuệ nhân tạo,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Khoa học dữ liệu và Trí tuệ nhân tạo,Khai phá dữ liệu,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Khoa học dữ liệu và Trí tuệ nhân tạo,Máy học ứng dụng,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,"Lập trình Ứng dụng, Web & Mobile",Lập trình ứng dụng trên Windows,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,"Lập trình Ứng dụng, Web & Mobile",Phát triển ứng dụng hướng dịch vụ,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,"Lập trình Ứng dụng, Web & Mobile",Phát triển ứng dụng web mã nguồn mở,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,"Lập trình Ứng dụng, Web & Mobile",Thiết kế web,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,"Lập trình Ứng dụng, Web & Mobile",Thương mại điện tử,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Lập trình Web & Mobile,Chuyên đề ASP.NET,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,Lập trình Web & Mobile,Lập trình thiết bị di động,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,"Mạng máy tính và Điện toán đám mây, và Bảo mật",An toàn và bảo mật thông tin,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,"Mạng máy tính và Điện toán đám mây, và Bảo mật",Điện toán đám mây,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức chuyên ngành,"Mạng máy tính và Điện toán đám mây, và Bảo mật",Mạng máy tính,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Cơ sở dữ liêu,Hệ quản trị cơ sở dữ liệu,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Cơ sở dữ liêu,Cơ sở dữ liệu,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Cơ sở máy tính,Chuyên đề Linux,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Cơ sở máy tính,Hệ điều hành,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Cơ sở máy tính,Kiến trúc máy tính,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Lập trình và giải thuật,Cấu trúc dữ liệu và giải thuật,4
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Lập trình và giải thuật,Kỹ thuật lập trình,4
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Kiến thức cơ sở ngành,Lập trình và giải thuật,Lập trình hướng đối tượng,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Đại cương,Lý luận chính trị,,,12
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Đại cương,Ngoại ngữ,,,15
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Thực tập,Thực tập cuối khóa,Thực tập cuối khóa,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Thực tập,Thực tập đồ án chuyên ngành,Thực tập đồ án chuyên ngành,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Thực tập,Thực tập đồ án cơ sở ngành,Thực tập đồ án cơ sở ngành,3
KỸ SƯ CÔNG NGHỆ THÔNG TIN,Kiến thức nghề nghiệp,Tốt nghiệp,Đồ án tốt nghiệp,,7