tt,mssv,gioitinh,lop,qt_lthdt,kt_lthdt,qt_ktlt,kt_ktlt,qt_mmt,kt_mmt,qt_csdl,kt_csdl,qt_tkw,kt_tkw,qt_ltxh,kt_ltxh,qt_nckh,kt_nckh,qt_trr,kt_trr,qt1_ltdt,kt_ltdt,qt_ktmt,kt_ktmt,qt_hdh,kt_hdh
1,110120090,1,DA20TTB,0,0,3,5,4.7,6.1,6.8,7.3,3.5,0,7.1,6.3,3,3,5.2,5.3,2,2.8,9,5.8,6.4,4.1
2,110120091,1,DA20TTB,4.7,2.9,9.3,9.2,4.8,6.6,8.4,8.2,4.8,5.5,7.9,8.5,7.8,5.4,6.7,5.5,4.4,5.1,7.8,4.8,6,4.7
3,110120019,0,DA20TTB,9.5,9,9.8,9.5,6.8,6.8,9,9.3,9.3,8.3,9.4,9.5,7.8,5.5,7.3,5.3,8.8,8.3,9.3,10,7.5,8.3
4,110120020,1,DA20TTB,4,6.8,7.7,5.8,6,6,7.8,7.9,3.3,3,8,5.4,7,2.5,6.2,3,6,3.8,8.7,2.3,3.5,5
5,110120095,1,DA20TTB,2.8,6,0.8,8,2,5.8,7,6,2.9,6.3,7.7,5.5,0,3,2.4,5.8,2.5,5.3,9.3,4.5,4,1.3
6,110120098,1,DA20TTB,4,2.5,5.2,3,5.2,6.8,6.9,7,2.2,6.5,7.3,6,3,0,4.7,5.8,2.5,5,7,5.5,6.5,2
7,110120171,1,DA20TTB,2.5,3,3.9,4.1,5.7,5.3,8.2,6.8,4.9,2.5,5.2,7.1,3.5,3.5,3.8,4.8,3,3.5,9.3,3,3.5,1.8
10,110120142,1,DA20TTB,9.5,9.3,9.8,9,6.5,4.5,9.2,9.3,10,4,5.8,5.8,7,3.5,4.5,5.3,7.3,7.5,8.3,2.8,6.8,7.3
13,110120070,0,DA20TTB,7.5,6.5,8.8,9.3,5.5,6.5,8.9,9.3,7.3,8.8,9.1,6.5,7.8,4.5,6.5,4.8,6.2,7.3,9.7,10,6.8,6.5
15,110120119,1,DA20TTB,1.8,3.5,4,4,5.4,8.3,5.9,3.8,2.3,3.1,8.2,6.5,3.5,3.5,4.3,3.7,2.2,3.8,9.8,3.3,5.5,1.8
16,110120161,1,DA20TTB,3.3,7.3,5.4,4.8,5,4.5,6.5,6,1.9,5,6.6,5,3.8,3.5,4.8,3.8,6.2,5,9,0,4.3,2
17,117520005,0,DA20TTB,5.5,3,2.3,7.5,4.7,6.3,7.9,6,2.5,7.8,8.8,6.5,7.3,3.5,6.4,4,6,4.8,9.9,4.5,6.2,1.5
18,110120163,1,DA20TTB,9,9,8.5,8.5,6.5,7.3,9,8.8,7.5,7,8.4,8.3,7,4,8.6,8.6,8.5,8,8,8.5,6,7.3
19,110120085,1,DA20TTB,5.5,5.3,6.5,6.5,5.4,3.8,8.3,6.5,5.2,5,5.9,7.5,7,2,5.9,5,5.5,5.3,8.4,6.5,6.5,3
20,117520002,1,DA20TTB,2.3,2.25,0,0,5,5.2,3.5,3,2.3,0,5,5.5,5.2,5,3.4,3.5,4.3,4,5,5.5,4,4.5
21,110120127,0,DA20TTB,6,2.5,5.5,6.5,4.4,4.3,7.7,4,2.8,6,8.2,6.5,7.5,1,4.5,4,6.5,4.5,9.7,2.3,6.5,2.3
22,110120087,0,DA20TTB,6,7,7.9,8.3,6.3,5.3,8.7,7.5,4.9,2.5,9.3,8.5,7.5,3,7.9,5.5,7.9,7,9.2,7.8,6.5,2.8
23,110120013,1,DA20TTB,6,4.8,9,9,5.8,7.3,9.3,5.8,6.5,5.3,8.7,8.9,7.8,5.9,8.2,6.6,6.3,6.1,9.5,8,6.3,4.2
24,110120016,1,DA20TTB,5,5.3,6.5,6,5.5,7.5,9.3,5.8,6,3,6.5,6,7.3,2,4.7,4.5,4.9,4.8,9.8,3.8,6.2,2.3
25,110120092,1,DA20TTB,5.5,3,4.9,4.9,5.2,7,8.3,4.5,4.5,4.3,7.3,,5,,5.9,2.8,4.9,4.8,9,5,5.8,
26,110120031,1,DA20TTB,7.8,7.5,8.3,7.8,6,7,9.9,5.5,7.2,4.3,8.9,9.5,7.3,3,8,6.5,6.9,7,9.5,7,7.3,2.8
27,110120138,1,DA20TTB,8.5,9.5,9.8,10,7.3,8.8,9.9,9.8,10,9.8,9,7.5,8.3,6,8,7.9,8,7.9,9.5,9.7,7.3,8.2
28,110120037,1,DA20TTB,4,4.8,5.7,4.3,5.4,6.5,8.7,7,3.6,4.3,6,4.5,5,5.3,4.7,5.5,4.5,4,9.5,3,6.8,2
29,110120101,1,DA20TTB,4.4,4.4,5.7,5.7,6.2,6.2,6.6,6.6,4.5,4.5,5.9,5.9,4.8,4.8,4.8,4.8,4.7,4.7,7.2,7.2,6,6
30,110120038,1,DA20TTB,,,,,,,,,,,,,,,5.7,5.7,4.7,4.7,6.9,6.9,4.7,4.7
31,110120044,1,DA20TTB,6,5,6,6,7.2,7.2,6.6,6.6,5,4.5,6.5,6.5,5.5,5.5,5,5,6,6,6.8,6.8,5,5
32,110120107,1,DA20TTB,2.8,5,5,6,7.5,5,8,7,3,5.5,6.5,7.9,3.5,5,2.8,0,4,4.5,6.5,7,4,4.5
34,110120146,1,DA20TTB,4.8,4.9,9.3,9.2,5,6.5,9.4,9.4,4.9,4,7.8,8.7,7.3,3.5,8,7.5,6.3,6.4,9.8,9.2,6,4.3
35,110120053,1,DA20TTB,5.3,7,3.5,3.7,5.3,8,6.1,6.3,3.9,3,,,,,4.9,3.3,3.5,6,8,2.3,5..3,2
36,110120109,0,DA20TTB,4.8,4.7,5,6,5.3,5.8,8.4,6.5,6.9,,7.9,8.7,4,3.3,5.8,4.6,5.4,5,9.8,9.3,5.5,4.3
38,110120059,0,DA20TTB,5.5,4,7,7,5.3,7.5,8.9,6.8,5.3,2.5,7,7,7.5,4,6.3,3.5,5.5,5.8,9.7,3,6.5,2
39,110120112,1,DA20TTB,2.5,6,1,7.5,5,4.8,6.4,3.8,2.9,5.6,8.1,6.5,0,2.5,2.2,3.3,5,4.5,7.5,9,5.5,2.5
40,110120151,1,DA20TTB,7,7,10,9.3,5.3,7.3,9.2,9.5,8.3,8.5,8.4,6.5,7.3,4,7.4,5.8,7.3,6,9.8,8.3,6,4.8
41,110120152,1,DA20TTB,6.5,5.3,9.8,9.8,5.2,8.3,8.7,9.3,9.3,6.5,8.9,8.9,7.3,3.5,6.9,5.8,8.4,6.5,9.8,9.3,6.3,5
42,110120116,1,DA20TTB,,,,,,,,,,,,,,,,,,,,,,
43,110120153,1,DA20TTB,3.5,4.5,8.6,5.8,5.9,3.8,8.9,7.8,4.6,3.8,8.1,6.5,3.8,4,5.1,4.3,6.2,5,8.8,7.3,6.5,6
44,110120121,1,DA20TTB,2.8,8.3,6.7,6.7,4.7,9,8.7,5,3.4,5,7.2,7.2,3.8,2,3.7,4.8,4.8,4.5,9.8,9.5,6.3,1.8
45,110120078,1,DA20TTB,3.3,6,6,5.3,6.5,8.5,7.7,9,"4,5",4,7.9,6.5,7.3,3.5,6.8,4.8,4,4.8,8.3,3,6,3.5
46,110120122,1,DA20TTB,2.8,6,1,4,3.8,5,6.5,6.5,2,2.3,6.3,6.3,4.3,4.3,3.8,4.5,2.8,4,3.8,5,4.2,4.2
47,110120125,1,DA20TTB,2.8,7,9.5,9.5,5.3,8,8.9,7,5.1,7.3,7.4,7.4,3.5,3,3.5,5,6.8,7,9.8,7.3,6.4,2
48,110120004,1,DA20TTA,4.5,4.8,4,6.5,5.5,7,6.8,8.5,74,2,6.1,5.5,8,3.5,5.7,7,4,7.8,9.3,2.3,5.5,7.8
49,110120002,1,DA20TTA,8.6,7.5,10,10,6.8,7.3,9.5,9.5,9.8,8,7.3,9,8.3,4,9.7,9.3,8.8,8.8,9.5,7.8,8.8,7.8
50,110120006,1,DA20TTA,3,1.5,2.8,4,5.5,6.3,5.8,8.3,3.6,0,3.9,5.5,7.8,4,2.5,5.5,2.7,2,,,3.5,5.5
51,110120128,1,DA20TTA,3.8,4.9,8.5,8.8,6.2,6.3,9.2,8.9,5.3,5,6.7,5.5,7.5,2.5,8.5,6.5,4.8,4.5,9.5,0.3,4.8,6.5
52,110120008,0,DA20TTA,7.8,6.8,9.8,9.8,6.3,7.3,9.5,8.5,9.8,8,8.5,9.5,7.8,4,9.8,8.3,8,7.5,9.3,5.8,6.5,5.5
53,110120010,1,DA20TTA,8.1,7.3,6.9,4.5,5.9,7.3,9,9,7.5,5.5,7.1,8,8,2,7.8,4,6.9,4.5,9.5,1.8,6.8,5.5
54,110120014,1,DA20TTA,6,6,9,9.5,6.9,6.8,8.2,8.5,7.8,5.5,6.5,6,7.8,2,6.5,4.3,4.7,5,,,4,6.3
55,110120021,1,DA20TTA,4.5,3,5.8,5.5,6.7,6.8,8,8.5,7.9,5.5,6.9,7.5,8,2.5,5.3,2.8,5.7,3.8,8.7,1,5.5,7
56,110120167,1,DA20TTA,4.2,4.5,5.8,5.5,6.2,6.8,4.7,7,6.6,4.8,7.4,7.6,7.3,3,5.5,6.5,5.8,5.3,9.5,1.3,4.3,6.8
57,110120164,1,DA20TTA,6.6,3.5,8.5,7.3,5.9,6.5,8.5,9.8,7,7,8,3.5,7.3,3.5,6.4,4,6.4,3.8,8.8,0.3,6.3,6.3
58,110120026,0,DA20TTA,6.1,3.3,7.8,8.3,5.9,6.5,9.3,9.8,8.7,6.8,8,6,7.8,2.5,7.9,3.8,6.5,4.3,9.5,1,6.5,7.5
59,110120027,1,DA20TTA,5,4,8,3.8,6.2,5.3,7.5,9.3,8,3.8,5.9,6,7.3,3,5.9,2,4.8,5.3,8.8,0.8,5.8,5
60,110120029,1,DA20TTA,3.8,2.5,5.3,8.3,5.9,7,9.3,7.3,6.6,5.3,6.1,6,6.8,3,4.5,6.3,4,3.5,9,0.3,6.3,5.5
61,110120034,1,DA20TTA,4.5,5.2,8.5,8.4,5.8,6.3,7.9,7.8,8.4,5.3,6.8,5,8.3,3,4.5,3.5,4.8,5,9.5,1,6.8,6
62,110120047,1,DA20TTA,5.8,2,6.3,,5.9,7.5,7.5,7.8,6.2,5.8,5.9,6.5,7,2.5,3.1,6,6.3,4,8,1.3,5.3,7.3
63,110120166,1,DA20TTA,6.3,1.5,5.4,5.5,6.2,6,9,9.5,9.1,6.3,7.1,4.5,7.3,2.5,7.8,4.8,6,7,9.5,1,6,6.5
64,110120049,0,DA20TTA,3.2,1.3,4,6,5.9,7.3,9.4,7.8,8.6,4.5,6.8,6.5,7,3.9,4.5,3.9,5.9,4,9.7,1.5,5.5,7.5
65,110120170,1,DA20TTA,4,2.5,4,4.5,5,5.3,7.3,6.3,5.3,5,5.7,4.5,,3,6.2,2,4.8,5,8,0.5,5,7.5
66,110120051,1,DA20TTA,3,3.8,6.3,5.8,5,8.5,9.4,7.8,7.1,5.8,5.7,6.5,7.3,3.5,5.5,3.5,3.5,5.5,9.3,2.5,6.5,6
67,110120054,1,DA20TTA,6.9,7,9.8,9.8,6.9,8.3,9.5,7.8,7.7,8.5,7.7,9.5,7.3,2.5,8.2,4,7.9,8,9.3,6.5,7.8,7
68,110120060,0,DA20TTA,5,3.2,9.9,9.8,5.7,7.5,9.5,8,7.2,5.3,7.1,9.5,7,3.5,7.5,6.3,5.8,4.3,9.3,4.5,6.5,6
69,110120063,1,DA20TTA,5.5,6.8,7.8,8.8,7.3,7.8,6.5,7.8,6,5.5,8.3,8.5,7.3,1.5,4.2,5,5.5,8,9.7,4.5,6.5,6.8
70,110120067,0,DA20TTA,3.2,1.5,3.2,1.5,6,7.5,8.3,8.3,6.1,5.5,5.7,5.5,7.5,2.5,6.2,4.5,5.9,4.8,8.5,0.8,4.8,5.8
71,110120071,1,DA20TTA,4.8,4.6,7.3,5.9,6,7.8,9.3,9,5.4,6.3,6.3,6.5,7.8,3,5.1,4.8,3.7,7.3,8.9,1.3,4.8,6.8
72,110120077,1,DA20TTA,8.3,7.5,10,9.8,5.9,8,10,9,8.9,6.3,7.8,9,7.3,2,9.3,5.5,7.5,8.3,9.5,6.8,6,7.5
73,110120081,1,DA20TTA,8.8,9,10,10,6.2,7.3,9.5,8.8,8.6,10,8.7,9.5,7.3,2.5,9.2,6.8,7.9,6,9.5,6.8,7.5,6.8
74,110120082,1,DA20TTA,3,6.3,5.5,8,6,7.3,6,8.8,4.9,3.3,5.3,5.5,7.5,2.5,5.6,5.3,4.5,4,9,1.3,4.8,7.3
75,110120083,1,DA20TTA,6.8,5.3,7.5,5.5,5.7,8,8.7,9,8.7,7,7.5,6.5,7.3,3.5,5.6,5.3,5.3,4,8.3,3.3,4.3,7.5
76,110118135,1,DA20TTA,7.2,6.5,10,10,5.5,5.5,7.7,9.5,6.5,6.5,7.3,9.5,,,5.8,5.5,7.2,6.5,9.5,7.5,5.8,7.8
77,110120084,1,DA20TTA,6.4,4.5,10,8.5,6.2,7.3,9,6.8,8.7,6.5,7.8,5,7.3,3.5,6.9,4.8,7,6.3,9.5,5.8,6,7.5
78,110120118,1,DA20TTB,2,4.5,,,4,7.5,,,,,,,,,,,,,,,,
